method,model_id,test_scale,instance_index,preference_id,cost_weight,risk_weight,expected_restarts,observed_restarts,feasible_rate,all_restarts_feasible,terminal_clear_rate,technical_failure_rate,missing_rate,runtime_seconds,successful_runtime_seconds_conditional,failed_runtime_seconds_conditional,solver_status,cost,risk,normalized_cost,normalized_risk,weighted_objective_raw,weighted_objective_normalized,fixed_cost,distance_cost,processing_cost,transport_risk,coload_risk,producer_inventory_risk,facility_inventory_risk
ga,GA,Test-2,43,C100-R000,1.0,0.0,3,3,1.0,True,1.0,0.0,0.0,3.0231075333431363,3.0231075333431363,,completed,2029.491358,53.221796087998335,0.605702986717701,0.6839961079752267,2029.491358,0.605702986717701,150.0,1311.338,568.153358,19.826176426356394,1.5900556616419408,31.805563999999993,0.0
ga,GA,Test-2,44,C000-R100,0.0,1.0,3,3,1.0,True,1.0,0.0,0.0,3.0762914333414906,3.0762914333414906,,completed,2905.1040663333333,47.93230098445309,0.9262755322664452,0.6917064470901009,47.93230098445309,0.6917064470901009,183.33333333333334,2221.8230000000003,499.94773299999997,17.114925288996506,0.9441326954565916,29.873243000000002,0.0
ga,GA,Test-2,44,C025-R075,0.25,0.75,3,3,1.0,True,1.0,0.0,0.0,2.8942062666562074,2.8942062666562074,,completed,2597.0487013333336,49.71480466612626,0.828053871125385,0.7174295870865529,686.5482788329282,0.7450856580962609,150.0,2008.679,438.36970133333335,19.424801396403794,0.4167602697224633,29.873243000000002,0.0
ga,GA,Test-2,44,C050-R050,0.5,0.5,3,3,1.0,True,1.0,0.0,0.0,3.0807595333317295,3.0807595333317295,,completed,2652.889973,49.95877050789278,0.8458585357619812,0.7209502347949615,1351.4243717539464,0.7834043852784713,166.66666666666666,1978.01,508.2133063333334,18.745424934751266,1.3401025731415117,29.873243000000002,0.0
ga,GA,Test-2,44,C075-R025,0.75,0.25,3,3,1.0,True,1.0,0.0,0.0,2.993506066656361,2.993506066656361,,completed,2432.576029666667,51.52923071579107,0.7756127165186207,0.7436133957196591,1837.3143299289477,0.7676128863188804,150.0,1803.777,478.7990296666667,20.81090180802651,0.84508590776456,29.873243000000002,0.0
ga,GA,Test-2,44,C100-R000,1.0,0.0,3,3,1.0,True,1.0,0.0,0.0,3.3188080333250887,3.3188080333250887,,completed,2285.2930229999997,58.25165143726999,0.728652386603088,0.8406240056339896,2285.2930229999997,0.728652386603088,150.0,1592.1419999999998,543.151023,25.969062843542602,2.4093455937273798,29.873243000000002,0.0
ga,GA,Test-2,45,C000-R100,0.0,1.0,3,3,1.0,True,1.0,0.0,0.0,3.00892739999108,3.00892739999108,,completed,2784.1584123333328,41.2182215411802,1.027687338573318,0.7860934931891336,41.2182215411802,0.7860934931891336,150.0,2056.477,577.6814123333334,14.15775004681385,0.350045494366344,26.710426000000002,0.0
ga,GA,Test-2,45,C025-R075,0.25,0.75,3,3,1.0,True,1.0,0.0,0.0,3.233554666667866,3.233554666667866,,completed,2844.866945666666,41.264127541053846,1.0500960459132627,0.7869689896673832,742.164832072457,0.852750753728853,166.66666666666666,2108.49,569.710279,14.206427748636349,0.347273792417496,26.710426000000002,0.0
ga,GA,Test-2,45,C050-R050,0.5,0.5,3,3,1.0,True,1.0,0.0,0.0,3.2056553666479886,3.2056553666479886,,completed,2539.4049706666665,43.90185025329496,0.9373440549588358,0.837274329961077,1291.6534104599807,0.8873091924599565,150.0,1828.4219999999998,560.9829706666667,16.72188906617032,0.46953518712464004,26.710426000000002,0.0
ga,GA,Test-2,45,C075-R025,0.75,0.25,3,3,1.0,True,1.0,0.0,0.0,3.020189299985456,3.020189299985456,,completed,2495.3563790000003,45.97997866794134,0.9210848580190033,0.8769073651499647,1883.0122789169855,0.9100404848017436,150.0,1804.5330000000001,540.823379,18.569227196126356,0.700325471814976,26.710426000000002,0.0
