model_id,test_scale,instance_index,preference_id,ppo_j,ga_j,delta_j_percent
Train-L,Test-1,23,C075-R025,0.6342221921358335,0.7919852434519895,19.919948334961575
Train-L,Test-1,23,C100-R000,0.6413493287298453,0.8270434582883466,22.452765655485
Train-L,Test-1,24,C000-R100,0.1712793773653398,0.7302104144207854,76.54383257445029
Train-L,Test-1,24,C025-R075,0.36572187408560525,0.7721454635520494,52.63562484674853
Train-L,Test-1,24,C050-R050,0.5443802201671124,0.7943904270384502,31.47195615176223
Train-L,Test-1,24,C075-R025,0.5477246273689934,0.791583936760411,30.806500494365967
Train-L,Test-1,24,C100-R000,0.5504732355619886,0.7887774464823719,30.21184390896617
Train-L,Test-1,25,C000-R100,0.27937545011317827,0.6381352963473985,56.22002861896432
Train-L,Test-1,25,C025-R075,0.6901283012274964,0.7332241846251185,5.877586187320887
Train-L,Test-1,25,C050-R050,0.8283130729028385,0.8283130729028385,0.0
Train-L,Test-1,25,C075-R025,0.9234019611805584,0.9234019611805584,0.0
Train-L,Test-1,25,C100-R000,0.9998242120952575,0.9998242120952575,0.0
Train-L,Test-1,26,C000-R100,0.2686898998076362,0.686583006611336,60.86563500402256
Train-L,Test-1,26,C025-R075,0.6820655910753085,0.76575071336439,10.928507258113275
Train-L,Test-1,26,C050-R050,0.8168760142920185,0.8168760142920185,0.0
Train-L,Test-1,26,C075-R025,0.8680013152196469,0.8742985231340891,0.7202583268548456
Train-L,Test-1,26,C100-R000,0.9038450173437959,0.9093812687899813,0.6087932131648066
Train-L,Test-1,27,C000-R100,0.3082329192791041,0.6947471443062971,55.63379830990544
Train-L,Test-1,27,C025-R075,0.7223252465668736,0.759665233348533,4.9153212681681175
Train-L,Test-1,27,C050-R050,0.8458212621044673,0.8458212621044673,0.0
Train-L,Test-1,27,C075-R025,0.9253548343947052,0.9275623198832706,0.23798783556054984
Train-L,Test-1,27,C100-R000,0.9494470958242828,0.956885071395825,0.777311277381759
Train-L,Test-1,28,C000-R100,0.21358081636605294,0.6085956486394601,64.90595737193958
Train-L,Test-1,28,C025-R075,0.5305829735709598,0.6698157387402569,20.786726425860998
Train-L,Test-1,28,C050-R050,0.65996418053319,0.6858778644038264,3.7781776050114866
Train-L,Test-1,28,C075-R025,0.6835715212487549,0.7202870121907036,5.097341798553476
Train-L,Test-1,28,C100-R000,0.6900870470089423,0.6900870470089423,0.0
Train-L,Test-1,29,C000-R100,0.3491121457222433,0.6304697425819763,44.62666133785948
Train-L,Test-1,29,C025-R075,0.5954684104962437,0.701902172614155,15.163617704944674
Train-L,Test-1,29,C050-R050,0.7207997468456314,0.7501148578926898,3.908082974041315
Train-L,Test-1,29,C075-R025,0.7418988387912293,0.7983275431712252,7.068364966570257
Train-L,Test-1,29,C100-R000,0.7402505997416018,0.8311365875537987,10.935144616806316
Train-L,Test-1,30,C000-R100,0.24115347456234473,0.6300720478020342,61.72604777444213
Train-L,Test-1,30,C025-R075,0.5908544666930999,0.7315715325572474,19.234901797266964
Train-L,Test-1,30,C050-R050,0.7621703658822909,0.7621703658822909,0.0
Train-L,Test-1,30,C075-R025,0.8224649772091119,0.8224649772091119,0.0
Train-L,Test-1,30,C100-R000,0.874856123829434,0.874856123829434,0.0
Train-L,Test-1,31,C000-R100,0.23817603278030797,0.7592623540004116,68.63060159305898
Train-L,Test-1,31,C025-R075,0.6188161587318577,0.8175253284644519,24.30617900314199
Train-L,Test-1,31,C050-R050,0.8218244889588483,0.8462385779281708,2.885012525556923
Train-L,Test-1,31,C075-R025,0.8387831513007254,0.8387831513007254,0.0
Train-L,Test-1,31,C100-R000,0.8327600041966736,0.8327600041966736,0.0
Train-L,Test-1,32,C000-R100,0.2516428438737122,0.6684996810947063,62.357073460134984
Train-L,Test-1,32,C025-R075,0.6681914366129771,0.7660315625726274,12.772336120337613
Train-L,Test-1,32,C050-R050,0.8001176617487396,0.8409039426922051,4.850290130985215
Train-L,Test-1,32,C075-R025,0.8548004980144044,0.86512119899588,1.1929774687586623
Train-L,Test-1,32,C100-R000,0.8985221676961811,0.8985221676961811,0.0
Train-L,Test-1,33,C000-R100,0.15175877855308212,0.7061549049881127,78.50913765788586
Train-L,Test-1,33,C025-R075,0.5315419190058508,0.7771650945625826,31.605018968971798
Train-L,Test-1,33,C050-R050,0.7785816874949852,0.828271034948485,5.999165171409164
Train-L,Test-1,33,C075-R025,0.7806909574262776,0.8476475452278708,7.899107144065807
Train-L,Test-1,33,C100-R000,0.7875007379826001,0.7875007379826001,0.0
Train-L,Test-1,34,C000-R100,0.22709463821726983,0.640052232447588,64.51935846722229
Train-L,Test-1,34,C025-R075,0.5769507691187541,0.6671860378868827,13.524753763421446
Train-L,Test-1,34,C050-R050,0.6845349244428774,0.6801807961525355,-0.6401427848259246
Train-L,Test-1,34,C075-R025,0.6915883830759703,0.6823723898601367,-1.350581200643613
