method,model_id,instance_index,preference_id,weighted_objective_normalized,milp_j,milp_status,gap_percent
heuristic,Heuristic,0,C075-R025,1.0,0.9435762511890918,optimal,5.979776275611339
heuristic,Heuristic,0,C100-R000,1.0,0.9779369528991625,optimal,2.2560807253913517
heuristic,Heuristic,1,C000-R100,1.0,0.1636745394573036,solver_status_1,
heuristic,Heuristic,1,C025-R075,1.0,0.3929297075518292,solver_status_1,
heuristic,Heuristic,1,C050-R050,1.0,0.5061366373994585,optimal,97.57510642541561
heuristic,Heuristic,1,C075-R025,1.0,0.6053816082740378,optimal,65.18506448371167
heuristic,Heuristic,1,C100-R000,1.0,0.6621958048114768,optimal,51.012735618990234
heuristic,Heuristic,2,C000-R100,1.0,0.22883990995757691,solver_status_1,
heuristic,Heuristic,2,C025-R075,1.0,0.5806954197316272,solver_status_1,
heuristic,Heuristic,2,C050-R050,1.0,0.7919165104733533,solver_status_1,
heuristic,Heuristic,2,C075-R025,1.0,0.8031800591973226,optimal,24.50508308179042
heuristic,Heuristic,2,C100-R000,1.0,0.7997003784376648,optimal,25.04683340948902
heuristic,Heuristic,3,C000-R100,1.0,0.4785564761112981,solver_status_1,
heuristic,Heuristic,3,C025-R075,1.0,0.755170314489033,solver_status_1,
heuristic,Heuristic,3,C050-R050,1.0,0.8567900430938901,solver_status_1,
heuristic,Heuristic,3,C075-R025,1.0,0.8221229769807029,optimal,21.636303570125406
heuristic,Heuristic,3,C100-R000,1.0,0.7746360171973533,optimal,29.092887214051515
heuristic,Heuristic,4,C000-R100,1.0,0.26893447190889724,solver_status_1,
heuristic,Heuristic,4,C025-R075,1.0,0.6154679405224412,solver_status_1,
heuristic,Heuristic,4,C050-R050,1.0,0.7854933074933312,optimal,27.308532161935688
heuristic,Heuristic,4,C075-R025,1.0,0.8406764091142084,optimal,18.95183320936356
heuristic,Heuristic,4,C100-R000,1.0,0.8790770750200808,optimal,13.755668122406325
heuristic,Heuristic,5,C000-R100,1.0,0.12478032384457328,solver_status_1,
