archive_id,instance,model,repeat,preference_index,preference,candidate_budget,actual_candidate_attempts,unused_candidate_budget,stop_reason,batches,seconds,final_validation_evaluations,preference_initialization_evaluations
PPO-Test-1-large-r2-B252000,Test-1,large,2,6,"(0.3, 0.7)",12000,1156,10844,positive_probability_action_space_exhausted,145,1.884961799994926,1,1
PPO-Test-1-large-r2-B252000,Test-1,large,2,7,"(0.35, 0.65)",12000,1116,10884,positive_probability_action_space_exhausted,140,1.7411964000057196,1,1
PPO-Test-1-large-r2-B252000,Test-1,large,2,8,"(0.4, 0.6)",12000,1157,10843,positive_probability_action_space_exhausted,145,1.9708291999995708,1,1
PPO-Test-1-large-r2-B252000,Test-1,large,2,9,"(0.45, 0.55)",12000,1329,10671,positive_probability_action_space_exhausted,167,2.3234344000084093,1,1
PPO-Test-1-large-r2-B252000,Test-1,large,2,10,"(0.5, 0.5)",12000,1119,10881,positive_probability_action_space_exhausted,140,1.706129600002896,1,1
PPO-Test-1-large-r2-B252000,Test-1,large,2,11,"(0.55, 0.44999999999999996)",12000,1139,10861,positive_probability_action_space_exhausted,143,1.7870026999880793,1,1
PPO-Test-1-large-r2-B252000,Test-1,large,2,12,"(0.6, 0.4)",12000,1136,10864,positive_probability_action_space_exhausted,143,1.8503507999994326,1,1
PPO-Test-1-large-r2-B252000,Test-1,large,2,13,"(0.65, 0.35)",12000,1119,10881,positive_probability_action_space_exhausted,140,1.7091578999970807,1,1
PPO-Test-1-large-r2-B252000,Test-1,large,2,14,"(0.7, 0.30000000000000004)",12000,1144,10856,positive_probability_action_space_exhausted,144,1.8437688999983948,1,1
PPO-Test-1-large-r2-B252000,Test-1,large,2,15,"(0.75, 0.25)",12000,1116,10884,positive_probability_action_space_exhausted,140,1.7166444000031333,1,1
PPO-Test-1-large-r2-B252000,Test-1,large,2,16,"(0.8, 0.19999999999999996)",12000,1119,10881,positive_probability_action_space_exhausted,140,1.636014100004104,1,1
PPO-Test-1-large-r2-B252000,Test-1,large,2,17,"(0.85, 0.15000000000000002)",12000,1119,10881,positive_probability_action_space_exhausted,140,1.7079288999957498,1,1
PPO-Test-1-large-r2-B252000,Test-1,large,2,18,"(0.9, 0.09999999999999998)",12000,1119,10881,positive_probability_action_space_exhausted,140,1.7952043999976013,1,1
PPO-Test-1-large-r2-B252000,Test-1,large,2,19,"(0.95, 0.050000000000000044)",12000,1119,10881,positive_probability_action_space_exhausted,140,1.7909824999951525,1,1
PPO-Test-1-large-r2-B252000,Test-1,large,2,20,"(1.0, 0.0)",12000,1185,10815,positive_probability_action_space_exhausted,149,1.8497601999988547,1,1
PPO-Test-2-small-r0-B252000,Test-2,small,0,0,"(0.0, 1.0)",12000,5368,6632,positive_probability_action_space_exhausted,672,15.039499699996668,1,1
PPO-Test-2-small-r0-B252000,Test-2,small,0,1,"(0.05, 0.95)",12000,5503,6497,positive_probability_action_space_exhausted,688,15.397025000012945,1,1
PPO-Test-2-small-r0-B252000,Test-2,small,0,2,"(0.1, 0.9)",12000,4249,7751,positive_probability_action_space_exhausted,532,12.254463500008569,1,1
PPO-Test-2-small-r0-B252000,Test-2,small,0,3,"(0.15, 0.85)",12000,3322,8678,positive_probability_action_space_exhausted,416,9.719535100011854,1,1
PPO-Test-2-small-r0-B252000,Test-2,small,0,4,"(0.2, 0.8)",12000,3152,8848,positive_probability_action_space_exhausted,395,9.136195800005225,1,1
