archive_id,instance,model,repeat,preference_index,preference,candidate_budget,actual_candidate_attempts,unused_candidate_budget,stop_reason,batches,seconds,final_validation_evaluations,preference_initialization_evaluations
PPO-Test-2-large-r0-B40320,Test-2,large,0,14,"(0.7, 0.30000000000000004)",1920,1731,189,positive_probability_action_space_exhausted,217,2.932000600005267,1,1
PPO-Test-2-large-r0-B40320,Test-2,large,0,15,"(0.75, 0.25)",1920,1920,0,candidate_budget_reached,240,3.253558399999747,1,1
PPO-Test-2-large-r0-B40320,Test-2,large,0,16,"(0.8, 0.19999999999999996)",1920,1679,241,positive_probability_action_space_exhausted,210,2.762504700003774,1,1
PPO-Test-2-large-r0-B40320,Test-2,large,0,17,"(0.85, 0.15000000000000002)",1920,1920,0,candidate_budget_reached,240,3.499470000009751,1,1
PPO-Test-2-large-r0-B40320,Test-2,large,0,18,"(0.9, 0.09999999999999998)",1920,1605,315,positive_probability_action_space_exhausted,201,2.8195915999967838,1,1
PPO-Test-2-large-r0-B40320,Test-2,large,0,19,"(0.95, 0.050000000000000044)",1920,1710,210,positive_probability_action_space_exhausted,214,3.0988496000063606,1,1
PPO-Test-2-large-r0-B40320,Test-2,large,0,20,"(1.0, 0.0)",1920,1644,276,positive_probability_action_space_exhausted,206,2.896497499998077,1,1
PPO-Test-2-small-r1-B40320,Test-2,small,1,0,"(0.0, 1.0)",1920,1920,0,candidate_budget_reached,240,3.450024999998277,1,1
PPO-Test-2-small-r1-B40320,Test-2,small,1,1,"(0.05, 0.95)",1920,1920,0,candidate_budget_reached,240,3.5187776000093436,1,1
PPO-Test-2-small-r1-B40320,Test-2,small,1,2,"(0.1, 0.9)",1920,1920,0,candidate_budget_reached,240,3.5363245000044117,1,1
